epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,297.175,1.38447,10.4943,0.00398,0.70676,0.66926,0.71913,0.41777,0.9585,1.11466,0.00309,0.0099928,0.00333093,0.0099928,0.00333093,0.0099928,0.00333093,0.0099928,0.00333093
2,504.267,1.59783,1.80075,0.00469,0.56477,0.54604,0.54662,0.27018,1.20175,1.44892,0.004,0.0197949,0.00659829,0.0197949,0.00659829,0.0197949,0.00659829,0.0197949,0.00659829
3,687.676,1.77336,2.08403,0.00547,0.55727,0.40726,0.4305,0.15026,1.54328,1.84247,0.00566,0.0293989,0.00979965,0.0293989,0.00979965,0.0293989,0.00979965,0.0293989,0.00979965
4,866.379,1.9375,2.21629,0.0063,0.58504,0.48119,0.53144,0.21668,1.33302,1.42713,0.00457,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1044.95,1.82744,1.94655,0.00584,0.68328,0.55682,0.62583,0.28988,1.19373,1.24522,0.00401,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1221.33,1.7951,1.74015,0.00558,0.70402,0.64788,0.69944,0.34625,1.21492,1.0896,0.0042,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1391.33,1.77031,1.60215,0.00543,0.81983,0.73671,0.81215,0.39778,1.22099,0.86632,0.00426,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1561.71,1.75177,1.55174,0.00539,0.7859,0.70558,0.78787,0.38719,1.19683,0.85512,0.00411,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1733.23,1.73516,1.4497,0.00531,0.80181,0.69264,0.78088,0.402,1.23315,0.93301,0.00418,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1908.85,1.74648,1.4298,0.00538,0.83092,0.70751,0.80675,0.43233,1.14583,0.78163,0.00372,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2082.35,1.69178,1.35046,0.00513,0.84743,0.78525,0.84571,0.47319,1.12869,0.74379,0.00369,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2255.17,1.66427,1.34698,0.00494,0.83559,0.75097,0.82362,0.45669,1.11676,0.92988,0.00367,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2430.39,1.6165,1.22699,0.00482,0.89489,0.74449,0.84472,0.48215,1.09491,0.90628,0.00362,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2606.34,1.67925,1.2931,0.00503,0.89201,0.78859,0.87726,0.51373,1.01313,0.67938,0.00331,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2781.96,1.60673,1.21216,0.00477,0.91493,0.78115,0.87706,0.51244,1.03061,0.63969,0.00333,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2958.47,1.61737,1.15393,0.00494,0.88527,0.81582,0.87899,0.53488,0.99729,0.69745,0.00326,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3134.71,1.55102,1.1516,0.00463,0.81211,0.76135,0.83179,0.50942,0.98101,0.86961,0.00309,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3309.94,1.60106,1.158,0.00478,0.84947,0.82231,0.875,0.5354,1.00647,0.68636,0.00332,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3483.81,1.57443,1.0786,0.00472,0.8889,0.81977,0.89012,0.54385,0.99363,0.59475,0.00323,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3654.41,1.56905,1.12876,0.00458,0.9015,0.81842,0.90036,0.56394,0.95503,0.54626,0.00311,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
